LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,BOP,TOT,MLN_USD,A,1960,-723.7166,
AUS,BOP,TOT,MLN_USD,A,1961,-29.02848,
AUS,BOP,TOT,MLN_USD,A,1962,-180.4535,
AUS,BOP,TOT,MLN_USD,A,1963,-29.19309,
AUS,BOP,TOT,MLN_USD,A,1964,-299.2918,
AUS,BOP,TOT,MLN_USD,A,1965,-960.6357,
AUS,BOP,TOT,MLN_USD,A,1966,-567.5851,
AUS,BOP,TOT,MLN_USD,A,1967,-788.7637,
AUS,BOP,TOT,MLN_USD,A,1968,-1205.952,
AUS,BOP,TOT,MLN_USD,A,1969,-726.5975,
AUS,BOP,TOT,MLN_USD,A,1970,-655.9332,
AUS,BOP,TOT,MLN_USD,A,1971,-625.8526,
AUS,BOP,TOT,MLN_USD,A,1972,714.2024,
AUS,BOP,TOT,MLN_USD,A,1973,873.2181,
AUS,BOP,TOT,MLN_USD,A,1974,-2519.254,
AUS,BOP,TOT,MLN_USD,A,1975,-746.3906,
AUS,BOP,TOT,MLN_USD,A,1976,-1563.974,
AUS,BOP,TOT,MLN_USD,A,1977,-2739.992,
AUS,BOP,TOT,MLN_USD,A,1978,-4149.833,
AUS,BOP,TOT,MLN_USD,A,1979,-2168.533,
AUS,BOP,TOT,MLN_USD,A,1980,-3992.628,
AUS,BOP,TOT,MLN_USD,A,1981,-7774.717,
AUS,BOP,TOT,MLN_USD,A,1982,-7788.697,
AUS,BOP,TOT,MLN_USD,A,1983,-5761.462,
AUS,BOP,TOT,MLN_USD,A,1984,-8259.896,
AUS,BOP,TOT,MLN_USD,A,1985,-8549.028,
AUS,BOP,TOT,MLN_USD,A,1986,-9231.306,
AUS,BOP,TOT,MLN_USD,A,1987,-7243.769,
AUS,BOP,TOT,MLN_USD,A,1988,-10346.62,
AUS,BOP,TOT,MLN_USD,A,1989,-18460.01,
AUS,BOP,TOT,MLN_USD,A,1990,-15689.31,
AUS,BOP,TOT,MLN_USD,A,1991,-10636.01,
AUS,BOP,TOT,MLN_USD,A,1992,-10345.84,
AUS,BOP,TOT,MLN_USD,A,1993,-9339.202,
AUS,BOP,TOT,MLN_USD,A,1994,-15945.12,
AUS,BOP,TOT,MLN_USD,A,1995,-18881.09,
AUS,BOP,TOT,MLN_USD,A,1996,-14700.46,
AUS,BOP,TOT,MLN_USD,A,1997,-12400.28,
AUS,BOP,TOT,MLN_USD,A,1998,-18666.2,
AUS,BOP,TOT,MLN_USD,A,1999,-22542.35,
AUS,BOP,TOT,MLN_USD,A,2000,-16274.96,
AUS,BOP,TOT,MLN_USD,A,2001,-8426.276,
AUS,BOP,TOT,MLN_USD,A,2002,-16074,
AUS,BOP,TOT,MLN_USD,A,2003,-28613.69,
AUS,BOP,TOT,MLN_USD,A,2004,-41261.2,
AUS,BOP,TOT,MLN_USD,A,2005,-43938.52,
AUS,BOP,TOT,MLN_USD,A,2006,-46184.66,
AUS,BOP,TOT,MLN_USD,A,2007,-63713.27,
AUS,BOP,TOT,MLN_USD,A,2008,-49693.5,
AUS,BOP,TOT,MLN_USD,A,2009,-44411.81,
AUS,BOP,TOT,MLN_USD,A,2010,-45720.16,
AUS,BOP,TOT,MLN_USD,A,2011,-45134.68,
AUS,BOP,TOT,MLN_USD,A,2012,-68141.18,
AUS,BOP,TOT,MLN_USD,A,2013,-50710.85,
AUS,BOP,TOT,MLN_USD,A,2014,-44019.34,
AUS,BOP,TOT,MLN_USD,A,2015,-56884.16,
AUS,BOP,TOT,MLN_USD,A,2016,-41213.45,
AUS,BOP,TOT,MLN_USD,A,2017,-35381.71,
AUS,BOP,TOT,MLN_USD,A,2018,-31063.27,
AUS,BOP,TOT,MLN_USD,A,2019,5222.187,
